instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR100_40_10_Gap,fixed,0,1,0.13629889488220215,8582,123
VFR100_40_10_Gap,fixed,0,2,0.4545137882232666,8525,123
VFR100_40_10_Gap,fixed,0,3,0.5587239265441895,8525,123
VFR100_40_10_Gap,fixed,0,4,0.7533900737762451,8525,123
VFR100_40_10_Gap,fixed,0,5,0.9970591068267822,8525,123
VFR100_40_10_Gap,fixed,0,6,1.150399923324585,8525,123
VFR100_40_10_Gap,fixed,0,7,1.4035019874572754,8525,123
VFR100_40_10_Gap,fixed,0,8,1.5387499332427979,8525,123
VFR100_40_10_Gap,fixed,0,9,1.7280158996582031,8525,123
VFR100_40_10_Gap,fixed,0,10,1.904217004776001,8525,123
VFR100_40_10_Gap,fixed,0,11,2.048369884490967,8525,123
VFR100_40_10_Gap,fixed,0,12,2.262810707092285,8525,123
VFR100_40_10_Gap,fixed,0,13,2.589479923248291,8525,123
VFR100_40_10_Gap,fixed,0,14,2.8655967712402344,8525,123
VFR100_40_10_Gap,fixed,0,15,3.0406248569488525,8525,123
VFR100_40_10_Gap,fixed,0,16,3.341679811477661,8525,123
VFR100_40_10_Gap,fixed,0,17,3.5623018741607666,8525,123
VFR100_40_10_Gap,fixed,0,18,3.7833058834075928,8525,123
VFR100_40_10_Gap,fixed,0,19,4.182427883148193,8525,123
VFR100_40_10_Gap,fixed,0,20,4.314289808273315,8525,123
VFR100_40_10_Gap,fixed,0,21,4.491887807846069,8525,123
VFR100_40_10_Gap,fixed,0,22,4.716585874557495,8525,123
VFR100_40_10_Gap,fixed,0,23,4.8104798793792725,8525,123
VFR100_40_10_Gap,fixed,0,24,5.081409931182861,8525,123
VFR100_40_10_Gap,fixed,0,25,5.265362977981567,8525,123
VFR100_40_10_Gap,fixed,0,26,5.656390905380249,8525,123
VFR100_40_10_Gap,fixed,0,27,5.900879144668579,8525,123
VFR100_40_10_Gap,fixed,0,28,6.1538238525390625,8525,123
VFR100_40_10_Gap,fixed,0,29,6.446282863616943,8525,123
VFR100_40_10_Gap,fixed,0,30,6.637717008590698,8525,123
VFR100_40_10_Gap,fixed,0,31,7.02945876121521,8525,123
VFR100_40_10_Gap,fixed,0,32,7.4633448123931885,8525,123
VFR100_40_10_Gap,fixed,0,33,7.761850118637085,8525,123
VFR100_40_10_Gap,fixed,0,34,8.111774921417236,8525,123
VFR100_40_10_Gap,fixed,0,35,8.354566812515259,8525,123
VFR100_40_10_Gap,fixed,0,36,8.689862728118896,8525,123
VFR100_40_10_Gap,fixed,0,37,8.880284786224365,8525,123
VFR100_40_10_Gap,fixed,0,38,9.127163887023926,8525,123
VFR100_40_10_Gap,fixed,0,39,9.42389988899231,8525,123
VFR100_40_10_Gap,fixed,0,40,9.720591068267822,8525,123
VFR100_40_10_Gap,fixed,0,41,9.920901775360107,8525,123
