instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR200_60_10_Gap,fixed,0,1,1.0680499076843262,16412,123
VFR200_60_10_Gap,fixed,0,2,2.1812407970428467,16398,123
VFR200_60_10_Gap,fixed,0,3,3.295974016189575,16388,123
VFR200_60_10_Gap,fixed,0,4,4.149154186248779,16388,123
VFR200_60_10_Gap,fixed,0,5,5.827632904052734,16334,123
VFR200_60_10_Gap,fixed,0,6,7.786240100860596,16334,123
VFR200_60_10_Gap,fixed,0,7,9.022180795669556,16334,123
VFR200_60_10_Gap,fixed,0,8,10.41385817527771,16334,123
VFR200_60_10_Gap,fixed,0,9,12.517589092254639,16334,123
VFR200_60_10_Gap,fixed,0,10,13.135967016220093,16334,123
VFR200_60_10_Gap,fixed,0,11,15.909442901611328,16334,123
VFR200_60_10_Gap,fixed,0,12,16.964468002319336,16334,123
VFR200_60_10_Gap,fixed,0,13,18.120934009552002,16334,123
VFR200_60_10_Gap,fixed,0,14,20.34470295906067,16334,123
VFR200_60_10_Gap,fixed,0,15,21.69530701637268,16334,123
VFR200_60_10_Gap,fixed,0,16,23.0741069316864,16334,123
VFR200_60_10_Gap,fixed,0,17,25.800195932388306,16302,123
VFR200_60_10_Gap,fixed,0,18,27.069996118545532,16273,123
VFR200_60_10_Gap,fixed,0,19,28.199926137924194,16273,123
VFR200_60_10_Gap,fixed,0,20,29.190824031829834,16273,123
VFR200_60_10_Gap,fixed,0,21,30.15716314315796,16273,123
VFR200_60_10_Gap,fixed,0,22,30.783309936523438,16273,123
VFR200_60_10_Gap,fixed,0,23,31.99068808555603,16273,123
VFR200_60_10_Gap,fixed,0,24,33.75765585899353,16273,123
VFR200_60_10_Gap,fixed,0,25,35.56711792945862,16273,123
VFR200_60_10_Gap,fixed,0,26,36.17194080352783,16273,123
VFR200_60_10_Gap,fixed,0,27,37.551941871643066,16273,123
VFR200_60_10_Gap,fixed,0,28,40.18810987472534,16257,123
VFR200_60_10_Gap,fixed,0,29,41.07639193534851,16257,123
VFR200_60_10_Gap,fixed,0,30,43.38042092323303,16257,123
VFR200_60_10_Gap,fixed,0,31,44.34702801704407,16257,123
VFR200_60_10_Gap,fixed,0,32,45.2745418548584,16257,123
VFR200_60_10_Gap,fixed,0,33,45.89222979545593,16257,123
VFR200_60_10_Gap,fixed,0,34,46.81964087486267,16257,123
VFR200_60_10_Gap,fixed,0,35,47.738121032714844,16257,123
VFR200_60_10_Gap,fixed,0,36,48.6579270362854,16257,123
VFR200_60_10_Gap,fixed,0,37,50.42687487602234,16257,123
VFR200_60_10_Gap,fixed,0,38,51.35965585708618,16257,123
VFR200_60_10_Gap,fixed,0,39,53.223580837249756,16257,123
VFR200_60_10_Gap,fixed,0,40,55.11465883255005,16257,123
VFR200_60_10_Gap,fixed,0,41,57.21698307991028,16257,123
VFR200_60_10_Gap,fixed,0,42,58.0983829498291,16257,123
VFR200_60_10_Gap,fixed,0,43,60.56411814689636,16257,123
VFR200_60_10_Gap,fixed,0,44,62.67003607749939,16257,123
VFR200_60_10_Gap,fixed,0,45,64.24217700958252,16257,123
VFR200_60_10_Gap,fixed,0,46,65.55099296569824,16257,123
VFR200_60_10_Gap,fixed,0,47,66.59743213653564,16257,123
VFR200_60_10_Gap,fixed,0,48,68.67889595031738,16257,123
VFR200_60_10_Gap,fixed,0,49,69.65501594543457,16257,123
VFR200_60_10_Gap,fixed,0,50,70.43479204177856,16257,123
VFR200_60_10_Gap,fixed,0,51,72.20803594589233,16257,123
VFR200_60_10_Gap,fixed,0,52,73.66256284713745,16257,123
VFR200_60_10_Gap,fixed,0,53,74.97400403022766,16257,123
VFR200_60_10_Gap,fixed,0,54,77.01618003845215,16257,123
VFR200_60_10_Gap,fixed,0,55,78.36089491844177,16257,123
VFR200_60_10_Gap,fixed,0,56,80.30747485160828,16257,123
VFR200_60_10_Gap,fixed,0,57,82.06729984283447,16257,123
VFR200_60_10_Gap,fixed,0,58,83.07879090309143,16257,123
VFR200_60_10_Gap,fixed,0,59,86.28676295280457,16257,123
VFR200_60_10_Gap,fixed,0,60,88.4370949268341,16257,123
VFR200_60_10_Gap,fixed,0,61,89.66526484489441,16257,123
VFR200_60_10_Gap,fixed,0,62,91.06998896598816,16257,123
VFR200_60_10_Gap,fixed,0,63,92.93824291229248,16257,123
VFR200_60_10_Gap,fixed,0,64,94.07903695106506,16257,123
VFR200_60_10_Gap,fixed,0,65,95.24380898475647,16257,123
VFR200_60_10_Gap,fixed,0,66,96.50187397003174,16257,123
VFR200_60_10_Gap,fixed,0,67,98.89776277542114,16257,123
