instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR400_20_10_Gap,fixed,0,1,2.737222909927368,23591,42
VFR400_20_10_Gap,fixed,0,2,3.2063350677490234,23591,42
VFR400_20_10_Gap,fixed,0,3,3.656643867492676,23591,42
VFR400_20_10_Gap,fixed,0,4,4.0814738273620605,23591,42
VFR400_20_10_Gap,fixed,0,5,4.499423027038574,23591,42
VFR400_20_10_Gap,fixed,0,6,4.909670829772949,23591,42
VFR400_20_10_Gap,fixed,0,7,5.316489934921265,23591,42
VFR400_20_10_Gap,fixed,0,8,5.721681833267212,23591,42
VFR400_20_10_Gap,fixed,0,9,6.125340938568115,23591,42
VFR400_20_10_Gap,fixed,0,10,6.558596849441528,23591,42
