instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR300_40_10_Gap,fixed,0,1,11.392354965209961,20446,42
VFR300_40_10_Gap,fixed,0,2,12.851951837539673,20446,42
VFR300_40_10_Gap,fixed,0,3,14.517991065979004,20446,42
VFR300_40_10_Gap,fixed,0,4,16.04850482940674,20446,42
VFR300_40_10_Gap,fixed,0,5,17.59842014312744,20446,42
VFR300_40_10_Gap,fixed,0,6,19.242995977401733,20446,42
VFR300_40_10_Gap,fixed,0,7,20.956929922103882,20446,42
VFR300_40_10_Gap,fixed,0,8,22.47536587715149,20446,42
VFR300_40_10_Gap,fixed,0,9,23.936864852905273,20446,42
VFR300_40_10_Gap,fixed,0,10,25.472970008850098,20446,42
