instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR300_40_10_Gap,fixed,0,1,9.448008060455322,20511,42
VFR300_40_10_Gap,fixed,0,2,11.450983047485352,20511,42
VFR300_40_10_Gap,fixed,0,3,13.297744035720825,20511,42
VFR300_40_10_Gap,fixed,0,4,15.142594814300537,20511,42
VFR300_40_10_Gap,fixed,0,5,17.027586936950684,20511,42
VFR300_40_10_Gap,fixed,0,6,19.04032278060913,20511,42
VFR300_40_10_Gap,fixed,0,7,21.086493968963623,20511,42
VFR300_40_10_Gap,fixed,0,8,23.23723292350769,20511,42
VFR300_40_10_Gap,fixed,0,9,25.191015005111694,20511,42
VFR300_40_10_Gap,fixed,0,10,27.21977400779724,20511,42
VFR300_40_10_Gap,fixed,0,11,29.26286792755127,20511,42
VFR300_40_10_Gap,fixed,0,12,31.47364091873169,20511,42
VFR300_40_10_Gap,fixed,0,13,33.47403812408447,20511,42
VFR300_40_10_Gap,fixed,0,14,35.472569942474365,20511,42
VFR300_40_10_Gap,fixed,0,15,37.465386152267456,20511,42
VFR300_40_10_Gap,fixed,0,16,39.59923601150513,20511,42
VFR300_40_10_Gap,fixed,0,17,41.930009841918945,20511,42
VFR300_40_10_Gap,fixed,0,18,44.29619383811951,20511,42
VFR300_40_10_Gap,fixed,0,19,47.94506883621216,20511,42
VFR300_40_10_Gap,fixed,0,20,51.996240854263306,20511,42
