instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR400_40_10_Gap,fixed,0,1,1.1028761863708496,26279,42
VFR400_40_10_Gap,fixed,0,1,1.1032769680023193,26279,42
VFR400_40_10_Gap,fixed,0,2,1.6226410865783691,26150,42
VFR400_40_10_Gap,fixed,0,2,1.6228289604187012,26150,42
VFR400_40_10_Gap,fixed,0,3,2.5424749851226807,26150,42
VFR400_40_10_Gap,fixed,0,4,3.311893939971924,26150,42
VFR400_40_10_Gap,fixed,0,5,3.714600086212158,26150,42
VFR400_40_10_Gap,fixed,0,6,4.134757041931152,26150,42
VFR400_40_10_Gap,fixed,0,7,4.649383068084717,26150,42
VFR400_40_10_Gap,fixed,0,8,5.181722164154053,26150,42
VFR400_40_10_Gap,fixed,0,9,5.95110011100769,26150,42
VFR400_40_10_Gap,fixed,0,10,6.519772052764893,26150,42
VFR400_40_10_Gap,fixed,0,11,7.042963027954102,26150,42
VFR400_40_10_Gap,fixed,0,12,7.41131591796875,26150,42
VFR400_40_10_Gap,fixed,0,13,7.734097242355347,26150,42
VFR400_40_10_Gap,fixed,0,14,8.238633871078491,26150,42
VFR400_40_10_Gap,fixed,0,15,8.676197052001953,26150,42
VFR400_40_10_Gap,fixed,0,16,9.045180082321167,26150,42
VFR400_40_10_Gap,fixed,0,17,9.503922939300537,26150,42
VFR400_40_10_Gap,fixed,0,18,9.785492897033691,26150,42
VFR400_40_10_Gap,fixed,0,19,9.98478102684021,26150,42
VFR400_40_10_Gap,fixed,0,20,10.29767918586731,26150,42
VFR400_40_10_Gap,fixed,0,21,11.029363870620728,26150,42
VFR400_40_10_Gap,fixed,0,22,11.357192039489746,26149,42
VFR400_40_10_Gap,fixed,0,22,11.357356071472168,26149,42
VFR400_40_10_Gap,fixed,0,23,11.67212700843811,26149,42
VFR400_40_10_Gap,fixed,0,24,12.033534049987793,26149,42
VFR400_40_10_Gap,fixed,0,25,12.156119108200073,26149,42
VFR400_40_10_Gap,fixed,0,26,12.582328081130981,26149,42
VFR400_40_10_Gap,fixed,0,27,12.705777168273926,26149,42
VFR400_40_10_Gap,fixed,0,28,12.911333084106445,26149,42
VFR400_40_10_Gap,fixed,0,29,13.26760220527649,26149,42
VFR400_40_10_Gap,fixed,0,30,13.519047260284424,26149,42
VFR400_40_10_Gap,fixed,0,31,14.217223882675171,26149,42
VFR400_40_10_Gap,fixed,0,32,14.724295139312744,26149,42
VFR400_40_10_Gap,fixed,0,33,14.988518238067627,26149,42
VFR400_40_10_Gap,fixed,0,34,15.25413203239441,26149,42
VFR400_40_10_Gap,fixed,0,35,15.584832906723022,26149,42
VFR400_40_10_Gap,fixed,0,36,16.14663290977478,26149,42
VFR400_40_10_Gap,fixed,0,37,16.416015148162842,26149,42
VFR400_40_10_Gap,fixed,0,38,16.59942126274109,26149,42
VFR400_40_10_Gap,fixed,0,39,16.98589515686035,26149,42
VFR400_40_10_Gap,fixed,0,40,17.293208122253418,26149,42
VFR400_40_10_Gap,fixed,0,41,17.920130014419556,26149,42
VFR400_40_10_Gap,fixed,0,42,18.0538010597229,26149,42
VFR400_40_10_Gap,fixed,0,43,18.56740403175354,26149,42
VFR400_40_10_Gap,fixed,0,44,18.861783981323242,26149,42
VFR400_40_10_Gap,fixed,0,45,19.334493160247803,26149,42
VFR400_40_10_Gap,fixed,0,46,19.720010995864868,26149,42
VFR400_40_10_Gap,fixed,0,47,20.154284954071045,26149,42
VFR400_40_10_Gap,fixed,0,48,20.571653127670288,26149,42
VFR400_40_10_Gap,fixed,0,49,20.85269021987915,26149,42
VFR400_40_10_Gap,fixed,0,50,21.166502237319946,26149,42
VFR400_40_10_Gap,fixed,0,51,21.62730312347412,26149,42
