instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR300_60_10_Gap,fixed,0,1,2.024963855743408,22499,42
VFR300_60_10_Gap,fixed,0,1,2.0252089500427246,22499,42
VFR300_60_10_Gap,fixed,0,2,3.226172924041748,22434,42
VFR300_60_10_Gap,fixed,0,2,3.226400136947632,22434,42
VFR300_60_10_Gap,fixed,0,3,4.2467310428619385,22434,42
VFR300_60_10_Gap,fixed,0,4,5.052854061126709,22434,42
VFR300_60_10_Gap,fixed,0,5,6.099442005157471,22417,42
VFR300_60_10_Gap,fixed,0,5,6.09967303276062,22417,42
VFR300_60_10_Gap,fixed,0,6,6.840876817703247,22417,42
VFR300_60_10_Gap,fixed,0,7,9.039016008377075,22417,42
VFR300_60_10_Gap,fixed,0,8,10.096998929977417,22417,42
VFR300_60_10_Gap,fixed,0,9,11.445505857467651,22417,42
VFR300_60_10_Gap,fixed,0,10,12.791278839111328,22417,42
VFR300_60_10_Gap,fixed,0,11,14.160024881362915,22417,42
VFR300_60_10_Gap,fixed,0,12,15.372320175170898,22417,42
VFR300_60_10_Gap,fixed,0,13,15.946723937988281,22417,42
VFR300_60_10_Gap,fixed,0,14,19.66331195831299,22417,42
VFR300_60_10_Gap,fixed,0,15,20.698971033096313,22417,42
VFR300_60_10_Gap,fixed,0,16,21.229411840438843,22417,42
VFR300_60_10_Gap,fixed,0,17,22.99225401878357,22397,42
VFR300_60_10_Gap,fixed,0,17,22.992679119110107,22397,42
VFR300_60_10_Gap,fixed,0,18,24.226605892181396,22397,42
VFR300_60_10_Gap,fixed,0,19,25.891741037368774,22387,42
VFR300_60_10_Gap,fixed,0,19,25.892008066177368,22387,42
VFR300_60_10_Gap,fixed,0,20,27.436310052871704,22387,42
VFR300_60_10_Gap,fixed,0,21,30.49984383583069,22387,42
VFR300_60_10_Gap,fixed,0,22,31.88351011276245,22387,42
VFR300_60_10_Gap,fixed,0,23,33.52480101585388,22387,42
VFR300_60_10_Gap,fixed,0,24,35.35781908035278,22387,42
VFR300_60_10_Gap,fixed,0,25,35.92238187789917,22387,42
VFR300_60_10_Gap,fixed,0,26,36.90662407875061,22387,42
VFR300_60_10_Gap,fixed,0,27,37.90083694458008,22387,42
VFR300_60_10_Gap,fixed,0,28,38.835116147994995,22387,42
VFR300_60_10_Gap,fixed,0,29,39.893836975097656,22387,42
VFR300_60_10_Gap,fixed,0,30,41.48618698120117,22387,42
VFR300_60_10_Gap,fixed,0,31,42.355422019958496,22387,42
VFR300_60_10_Gap,fixed,0,32,43.81404495239258,22387,42
