instance,mechanism,run,iter,elapsed,best_makespan,seed
VFR200_20_10_Gap,fixed,0,1,0.012958049774169922,12851,42
VFR200_20_10_Gap,fixed,0,2,0.05411195755004883,12851,42
VFR200_20_10_Gap,fixed,0,3,0.07467508316040039,12851,42
VFR200_20_10_Gap,fixed,0,4,0.08477592468261719,12851,42
VFR200_20_10_Gap,fixed,0,5,0.11380887031555176,12851,42
VFR200_20_10_Gap,fixed,0,6,0.15698885917663574,12851,42
VFR200_20_10_Gap,fixed,0,7,0.18611693382263184,12851,42
VFR200_20_10_Gap,fixed,0,8,0.20663881301879883,12851,42
VFR200_20_10_Gap,fixed,0,9,0.22295308113098145,12851,42
VFR200_20_10_Gap,fixed,0,10,0.2444779872894287,12851,42
VFR200_20_10_Gap,fixed,0,11,0.25455188751220703,12851,42
VFR200_20_10_Gap,fixed,0,12,0.27533483505249023,12851,42
VFR200_20_10_Gap,fixed,0,13,0.3159959316253662,12845,42
VFR200_20_10_Gap,fixed,0,13,0.31612586975097656,12845,42
VFR200_20_10_Gap,fixed,0,14,0.3298969268798828,12845,42
VFR200_20_10_Gap,fixed,0,15,0.38047289848327637,12845,42
VFR200_20_10_Gap,fixed,0,16,0.40532588958740234,12845,42
VFR200_20_10_Gap,fixed,0,17,0.4569239616394043,12780,42
VFR200_20_10_Gap,fixed,0,17,0.45708489418029785,12780,42
VFR200_20_10_Gap,fixed,0,18,0.48014187812805176,12780,42
VFR200_20_10_Gap,fixed,0,19,0.5218570232391357,12780,42
VFR200_20_10_Gap,fixed,0,20,0.561150074005127,12780,42
VFR200_20_10_Gap,fixed,0,21,0.5886118412017822,12780,42
VFR200_20_10_Gap,fixed,0,22,0.6219520568847656,12780,42
VFR200_20_10_Gap,fixed,0,23,0.6325829029083252,12780,42
VFR200_20_10_Gap,fixed,0,24,0.6743791103363037,12780,42
VFR200_20_10_Gap,fixed,0,25,0.6846740245819092,12780,42
VFR200_20_10_Gap,fixed,0,26,0.7152559757232666,12780,42
VFR200_20_10_Gap,fixed,0,27,0.7332088947296143,12780,42
VFR200_20_10_Gap,fixed,0,28,0.7757430076599121,12780,42
VFR200_20_10_Gap,fixed,0,29,0.791813850402832,12780,42
VFR200_20_10_Gap,fixed,0,30,0.8130698204040527,12780,42
VFR200_20_10_Gap,fixed,0,31,0.8628480434417725,12780,42
VFR200_20_10_Gap,fixed,0,32,0.8979411125183105,12780,42
VFR200_20_10_Gap,fixed,0,33,0.9184799194335938,12780,42
VFR200_20_10_Gap,fixed,0,34,0.9460737705230713,12780,42
VFR200_20_10_Gap,fixed,0,35,0.9689180850982666,12780,42
VFR200_20_10_Gap,fixed,0,36,1.0069918632507324,12780,42
VFR200_20_10_Gap,fixed,0,37,1.0372507572174072,12780,42
VFR200_20_10_Gap,fixed,0,38,1.0761148929595947,12780,42
VFR200_20_10_Gap,fixed,0,39,1.0942950248718262,12780,42
VFR200_20_10_Gap,fixed,0,40,1.1320641040802002,12780,42
VFR200_20_10_Gap,fixed,0,41,1.1422910690307617,12780,42
VFR200_20_10_Gap,fixed,0,42,1.170539140701294,12780,42
VFR200_20_10_Gap,fixed,0,43,1.1978108882904053,12780,42
VFR200_20_10_Gap,fixed,0,44,1.2168190479278564,12780,42
VFR200_20_10_Gap,fixed,0,45,1.2389659881591797,12780,42
VFR200_20_10_Gap,fixed,0,46,1.276094913482666,12780,42
